Gene	Gene description	Protein class	RNA cancer category	RNA TS TPM
TLX1	T-cell leukemia homeobox 1	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Mixed	spleen: 31.3
TMEM156	Transmembrane protein 156	Predicted membrane proteins	Mixed	appendix: 11.8;lymph node: 27.8;spleen: 15.2;tonsil: 24.3;urinary bladder: 5.7
TUBB1	Tubulin beta 1 class VI	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Not detected	bone marrow: 4.8;lung: 2.1;placenta: 1.5;spleen: 5.6;testis: 1.5
VCAM1	Vascular cell adhesion molecule 1	Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins	Tissue enriched	spleen: 549.1
VIP	Vasoactive intestinal peptide	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Group enriched	appendix: 209.4;colon: 71.4;rectum: 68.3;small intestine: 52.7;smooth muscle: 58.1
ABI3	ABI family member 3	Predicted intracellular proteins	Expressed in all	spleen: 62.0
ABLIM2	Actin binding LIM protein family member 2	Predicted intracellular proteins	Mixed	skeletal muscle: 37.5;spleen: 28.4
AC009133.22		Predicted secreted proteins	Not detected	colon: 2.6;duodenum: 1.8;spleen: 1.0
AC018755.18		Predicted membrane proteins	Not detected	appendix: 10.0;bone marrow: 17.4
AC037459.4		Predicted intracellular proteins	Not detected	spleen: 3.6
AC069368.3		Predicted intracellular proteins	Not detected	spleen: 8.8
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	lymph node: 94.2
ADAM8	ADAM metallopeptidase domain 8	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	bone marrow: 43.8;spleen: 32.9
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Tissue enhanced	appendix: 10.9;lung: 15.5
ADCYAP1	Adenylate cyclase activating polypeptide 1	Predicted secreted proteins	Tissue enhanced	appendix: 19.3;cerebral cortex: 16.0;gallbladder: 15.7
ADGRE1	Adhesion G protein-coupled receptor E1	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Mixed	appendix: 9.9;spleen: 19.7
ADGRE2	Adhesion G protein-coupled receptor E2	CD markers, G-protein coupled receptors, Predicted membrane proteins	Mixed	appendix: 27.0;spleen: 15.4
ADGRE3	Adhesion G protein-coupled receptor E3	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Not detected	appendix: 8.7;spleen: 8.6
ADGRG5	Adhesion G protein-coupled receptor G5	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Mixed	lymph node: 11.2;tonsil: 8.8
ADORA2A	Adenosine A2a receptor	Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Not detected	bone marrow: 24.6;lymph node: 22.7
ADRA1B	Adrenoceptor alpha 1B	Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Mixed	cerebral cortex: 14.8;spleen: 17.0
AIF1	Allograft inflammatory factor 1	Predicted intracellular proteins	Expressed in all	spleen: 78.3
AIF1L	Allograft inflammatory factor 1 like	Predicted intracellular proteins	Expressed in all	kidney: 287.5;spleen: 288.1
AIM2	Absent in melanoma 2	Predicted intracellular proteins	Mixed	lymph node: 52.5;spleen: 30.9;tonsil: 40.1
AL513523.2		Predicted intracellular proteins	Not detected	lymph node: 1.4;skin: 3.5
ALG1L2	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase like 2	Predicted intracellular proteins	Mixed	spleen: 1.0
ANKLE1	Ankyrin repeat and LEM domain containing 1	Predicted intracellular proteins, Predicted membrane proteins	Mixed	bone marrow: 13.7
ANKRD18A	Ankyrin repeat domain 18A	Predicted intracellular proteins	Mixed	bone marrow: 11.3;testis: 10.2
ANKRD34B	Ankyrin repeat domain 34B	Predicted intracellular proteins	Tissue enhanced	bone marrow: 1.1;lymph node: 1.0;tonsil: 1.1
ANXA2R	Annexin A2 receptor	Predicted intracellular proteins	Expressed in all	lymph node: 21.9
AOAH	Acyloxyacyl hydrolase	Enzymes, Predicted secreted proteins	Expressed in all	spleen: 88.9
APOBEC3A	Apolipoprotein B mRNA editing enzyme catalytic subunit 3A	Predicted intracellular proteins	Tissue enhanced	appendix: 29.8;bone marrow: 59.0
APOBEC3B	Apolipoprotein B mRNA editing enzyme catalytic subunit 3B	Cancer-related genes, Predicted intracellular proteins	Expressed in all	bone marrow: 18.9
APOBR	Apolipoprotein B receptor	Predicted intracellular proteins	Expressed in all	spleen: 30.4
AQP9	Aquaporin 9	Predicted membrane proteins	Tissue enriched	appendix: 102.4;liver: 353.0
ARG1	Arginase 1	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Tissue enriched	bone marrow: 171.2;liver: 566.2
ARHGAP11B	Rho GTPase activating protein 11B	Predicted intracellular proteins	Mixed	bone marrow: 2.0
ARHGAP15	Rho GTPase activating protein 15	Predicted intracellular proteins	Mixed	lymph node: 65.4
ARHGAP25	Rho GTPase activating protein 25	Plasma proteins, Predicted intracellular proteins	Expressed in all	spleen: 89.6
ARHGAP30	Rho GTPase activating protein 30	Predicted intracellular proteins	Expressed in all	lymph node: 86.1;spleen: 80.6
ARHGAP4	Rho GTPase activating protein 4	Predicted intracellular proteins	Expressed in all	spleen: 95.1
ARHGAP45	Rho GTPase activating protein 45	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	appendix: 56.4;lymph node: 66.6;spleen: 77.8
ARHGAP9	Rho GTPase activating protein 9	Predicted intracellular proteins	Expressed in all	bone marrow: 78.0
ARL11	ADP ribosylation factor like GTPase 11	Disease related genes, Predicted intracellular proteins	Mixed	lymph node: 7.6
ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	Blood group antigen proteins, CD markers, Enzymes, Predicted membrane proteins, Predicted secreted proteins	Tissue enhanced	liver: 27.2;spleen: 26.9
ASTL	Astacin like metalloendopeptidase	Enzymes, Predicted secreted proteins	Mixed	bone marrow: 2.4
ATAD5	ATPase family, AAA domain containing 5	Predicted secreted proteins	Mixed	bone marrow: 7.9
ATP8B4	ATPase phospholipid transporting 8B4 (putative)	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Mixed	bone marrow: 23.0
AURKB	Aurora kinase B	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Expressed in all	lymph node: 44.4
BACH2	BTB domain and CNC homolog 2	Plasma proteins, Predicted intracellular proteins, Transcription factors	Mixed	lymph node: 21.2
BATF	Basic leucine zipper ATF-like transcription factor	Predicted intracellular proteins, Transcription factors	Expressed in all	lymph node: 31.4
BCAS4	Breast carcinoma amplified sequence 4	Disease related genes, Predicted intracellular proteins	Expressed in all	lymph node: 25.3
BCL11B	B-cell CLL/lymphoma 11B	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Mixed	lymph node: 12.2;skin: 18.7
BCL2A1	BCL2 related protein A1	Cancer-related genes, Predicted intracellular proteins	Expressed in all	appendix: 115.2;bone marrow: 277.0
BIN2	Bridging integrator 2	Predicted intracellular proteins	Expressed in all	bone marrow: 65.8
BIRC3	Baculoviral IAP repeat containing 3	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Expressed in all	lymph node: 138.1
BST1	Bone marrow stromal cell antigen 1	CD markers, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	bone marrow: 105.5
BTK	Bruton tyrosine kinase	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Expressed in all	lymph node: 65.2;tonsil: 70.8
C10orf105	Chromosome 10 open reading frame 105	Predicted intracellular proteins	Tissue enriched	cerebral cortex: 2.3;spleen: 3.2
C11orf21	Chromosome 11 open reading frame 21	Predicted intracellular proteins	Mixed	bone marrow: 32.4;spleen: 17.6
C16orf54	Chromosome 16 open reading frame 54	Predicted membrane proteins	Expressed in all	bone marrow: 26.0
C19orf38	Chromosome 19 open reading frame 38	Predicted membrane proteins	Expressed in all	bone marrow: 62.8
C3AR1	Complement C3a receptor 1	G-protein coupled receptors, Predicted membrane proteins	Expressed in all	appendix: 86.6
C5AR1	Complement C5a receptor 1	CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	appendix: 121.2
C5AR2	Complement component 5a receptor 2	G-protein coupled receptors, Predicted membrane proteins	Tissue enhanced	spleen: 9.7
CABP4	Calcium binding protein 4	Disease related genes, Predicted intracellular proteins	Mixed	spleen: 10.0
CARD11	Caspase recruitment domain family member 11	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Expressed in all	lymph node: 54.4;spleen: 40.2
CARD9	Caspase recruitment domain family member 9	Disease related genes, Predicted intracellular proteins	Mixed	bone marrow: 7.1;spleen: 8.2
CARMIL2	Capping protein regulator and myosin 1 linker 2	Predicted intracellular proteins	Mixed	appendix: 16.2;lymph node: 25.0;spleen: 15.1
CASS4	Cas scaffolding protein family member 4	Plasma proteins, Predicted intracellular proteins	Mixed	appendix: 17.7;lung: 23.9
CBFA2T3	CBFA2/RUNX1 translocation partner 3	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Mixed	spleen: 18.7
CBX4	Chromobox 4	Predicted intracellular proteins	Expressed in all	bone marrow: 85.1
CCDC88B	Coiled-coil domain containing 88B	Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	spleen: 36.2
CCL11	C-C motif chemokine ligand 11	Cancer-related genes, Predicted secreted proteins	Mixed	appendix: 39.3;small intestine: 37.3
CCL14	C-C motif chemokine ligand 14	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Mixed	spleen: 271.8
CCL17	C-C motif chemokine ligand 17	Predicted secreted proteins	Mixed	appendix: 11.1;lymph node: 9.9
CCL21	C-C motif chemokine ligand 21	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Mixed	lymph node: 3155.9
CCL22	C-C motif chemokine ligand 22	Predicted secreted proteins	Mixed	appendix: 18.6;tonsil: 13.5
CCL3	C-C motif chemokine ligand 3	Cancer-related genes, Predicted secreted proteins	Expressed in all	bone marrow: 50.2
CCL4	C-C motif chemokine ligand 4	Cancer-related genes, Predicted secreted proteins	Expressed in all	spleen: 24.8
CCL4L2	C-C motif chemokine ligand 4 like 2	Predicted secreted proteins	Expressed in all	bone marrow: 19.4
CCL5	C-C motif chemokine ligand 5	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	spleen: 80.5
CCR1	C-C motif chemokine receptor 1	CD markers, G-protein coupled receptors, Predicted membrane proteins	Expressed in all	appendix: 57.5
CCR2	C-C motif chemokine receptor 2	CD markers, G-protein coupled receptors, Predicted membrane proteins	Mixed	appendix: 51.7
CCR4	C-C motif chemokine receptor 4	CD markers, G-protein coupled receptors, Predicted membrane proteins	Mixed	appendix: 11.5
CCR6	C-C motif chemokine receptor 6	CD markers, G-protein coupled receptors, Predicted membrane proteins	Not detected	lymph node: 20.4;tonsil: 32.4
CD160	CD160 molecule	CD markers, Predicted secreted proteins	Not detected	spleen: 19.6
CD163L1	CD163 molecule like 1	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	spleen: 43.2
CD180	CD180 molecule	CD markers, Predicted membrane proteins	Mixed	lymph node: 27.4;tonsil: 21.3
CD1C	CD1c molecule	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	spleen: 40.6;tonsil: 45.1
CD2	CD2 molecule	CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	lymph node: 131.1
CD200R1	CD200 receptor 1	Predicted membrane proteins, Predicted secreted proteins	Mixed	spleen: 14.5
CD22	CD22 molecule	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	lymph node: 264.4;ovary: 162.2;spleen: 151.7;tonsil: 210.1
CD244	CD244 molecule	CD markers, Plasma proteins, Predicted membrane proteins	Mixed	spleen: 23.5
CD247	CD247 molecule	CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Mixed	lymph node: 65.1;spleen: 48.6
CD27	CD27 molecule	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins	Expressed in all	lymph node: 140.5;tonsil: 85.8
CD28	CD28 molecule	CD markers, Predicted membrane proteins	Mixed	lymph node: 32.4;placenta: 20.9
CD300A	CD300a molecule	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	spleen: 85.8
CD300E	CD300e molecule	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 52.8;bone marrow: 29.0
CD300LB	CD300 molecule like family member b	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 11.4
CD300LF	CD300 molecule like family member f	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	lung: 25.6;spleen: 28.0
CD33	CD33 molecule	CD markers, FDA approved drug targets, Plasma proteins, Predicted membrane proteins	Mixed	spleen: 33.1
CD37	CD37 molecule	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	lymph node: 241.4;spleen: 208.7
CD3D	CD3d molecule	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	lymph node: 199.3;tonsil: 119.1
CD3E	CD3e molecule	CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Expressed in all	lymph node: 200.5;tonsil: 113.4
CD3G	CD3g molecule	CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 31.4;tonsil: 18.8
CD40LG	CD40 ligand	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Predicted membrane proteins	Mixed	lymph node: 18.8;tonsil: 14.1
CD48	CD48 molecule	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	lymph node: 311.4;spleen: 213.1;tonsil: 226.0
CD5	CD5 molecule	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 29.8;lymph node: 43.0
CD6	CD6 molecule	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 28.5;lymph node: 49.2
CD69	CD69 molecule	CD markers, Predicted membrane proteins	Mixed	bone marrow: 105.9;lymph node: 109.1
CD7	CD7 molecule	CD markers, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	appendix: 43.1;lymph node: 41.5;spleen: 43.1
CD70	CD70 molecule	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Tissue enhanced	appendix: 4.4
CD80	CD80 molecule	CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 7.2;lymph node: 6.7;tonsil: 6.3
CD83	CD83 molecule	CD markers, Predicted membrane proteins	Expressed in all	bone marrow: 130.9
CD84	CD84 molecule	CD markers, Predicted membrane proteins	Expressed in all	lymph node: 28.4
CD8A	CD8a molecule	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Expressed in all	spleen: 161.9
CD8B	CD8b molecule	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	cervix, uterine: 60.8;lymph node: 39.6
CD96	CD96 molecule	CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 28.0
CDA	Cytidine deaminase	Enzymes, Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 104.6;esophagus: 56.7
CDCA4	Cell division cycle associated 4	Predicted intracellular proteins	Expressed in all	bone marrow: 32.9
CDCA5	Cell division cycle associated 5	Predicted intracellular proteins	Expressed in all	bone marrow: 31.0;testis: 46.5
CDH4	Cadherin 4	Predicted membrane proteins	Group enriched	cerebral cortex: 6.0;spleen: 4.8
CDKN2D	Cyclin dependent kinase inhibitor 2D	Predicted intracellular proteins	Expressed in all	bone marrow: 181.1
CDT1	Chromatin licensing and DNA replication factor 1	Disease related genes, Predicted intracellular proteins	Expressed in all	bone marrow: 20.4
CEACAM21	Carcinoembryonic antigen related cell adhesion molecule 21	Predicted membrane proteins	Mixed	bone marrow: 11.0
CENPA	Centromere protein A	Predicted intracellular proteins	Mixed	lymph node: 7.4
CENPF	Centromere protein F	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 17.7;testis: 18.8
CENPM	Centromere protein M	Predicted intracellular proteins	Expressed in all	lymph node: 28.6
CENPU	Centromere protein U	Predicted intracellular proteins	Expressed in all	bone marrow: 45.6;testis: 67.6
CERKL	Ceramide kinase like	Disease related genes, Predicted intracellular proteins	Expressed in all	lymph node: 24.1
CFP	Complement factor properdin	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Mixed	bone marrow: 58.1;spleen: 76.6
CHI3L1	Chitinase 3 like 1	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Tissue enriched	appendix: 186.7;cerebral cortex: 267.1;urinary bladder: 179.4
CHI3L2	Chitinase 3 like 2	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Tissue enriched	appendix: 152.3
CHMP7	Charged multivesicular body protein 7	Predicted intracellular proteins	Expressed in all	lymph node: 38.5
CHODL	Chondrolectin	Predicted intracellular proteins, Predicted membrane proteins	Mixed	spleen: 19.5;testis: 57.6
CHRM4	Cholinergic receptor muscarinic 4	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Mixed	cerebral cortex: 8.1;small intestine: 7.8;spleen: 21.4
CKAP2L	Cytoskeleton associated protein 2 like	Disease related genes, Predicted intracellular proteins	Mixed	bone marrow: 8.7;testis: 9.6
CLEC11A	C-type lectin domain family 11 member A	Plasma proteins, Predicted secreted proteins	Expressed in all	bone marrow: 81.5
CLEC12A	C-type lectin domain family 12 member A	Predicted intracellular proteins, Predicted membrane proteins	Mixed	bone marrow: 51.3
CLEC2D	C-type lectin domain family 2 member D	Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	lymph node: 63.4
CLEC3B	C-type lectin domain family 3 member B	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	spleen: 303.3
CLEC4A	C-type lectin domain family 4 member A	Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	appendix: 30.7
CLEC4C	C-type lectin domain family 4 member C	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Not detected	lymph node: 6.0;spleen: 4.6;tonsil: 4.5
CLEC4E	C-type lectin domain family 4 member E	Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 53.9;bone marrow: 49.6;spleen: 44.0
CLEC5A	C-type lectin domain family 5 member A	Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 10.6;bone marrow: 27.4
CLEC6A	C-type lectin domain family 6 member A	Predicted membrane proteins	Tissue enriched	appendix: 1.5;lung: 1.5
CLEC7A	C-type lectin domain family 7 member A	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	appendix: 65.6
CLEC9A	C-type lectin domain family 9 member A	Predicted membrane proteins	Tissue enriched	lymph node: 7.8;spleen: 6.6
CLECL1	C-type lectin like 1	Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 28.7;spleen: 22.6;tonsil: 28.3
CNGB3	Cyclic nucleotide gated channel beta 3	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Not detected	bone marrow: 2.7;testis: 3.9
COL19A1	Collagen type XIX alpha 1 chain	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Tissue enhanced	lymph node: 3.2;tonsil: 2.9
CR1	Complement C3b/C4b receptor 1 (Knops blood group)	Blood group antigen proteins, CD markers, Plasma proteins, Predicted membrane proteins	Mixed	appendix: 37.5;spleen: 33.6
CRHBP	Corticotropin releasing hormone binding protein	Plasma proteins, Predicted secreted proteins	Tissue enhanced	liver: 69.9;spleen: 42.2
CRLF2	Cytokine receptor-like factor 2	Cancer-related genes, Predicted membrane proteins	Tissue enhanced	appendix: 2.1;gallbladder: 2.0
CRTAM	Cytotoxic and regulatory T-cell molecule	CD markers, Predicted membrane proteins	Mixed	lymph node: 9.8
CSF2RB	Colony stimulating factor 2 receptor beta common subunit	CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	appendix: 89.7
CSF3	Colony stimulating factor 3	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Mixed	appendix: 19.1;cervix, uterine: 38.2
CSF3R	Colony stimulating factor 3 receptor	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 211.2;bone marrow: 243.4;placenta: 147.9
CTB-133G6.1		Predicted membrane proteins	Mixed	lymph node: 22.3;spleen: 16.5
CTD-2116N17.1		Predicted intracellular proteins	Not detected	lymph node: 31.6;tonsil: 21.4
CTD-2192J16.24		Predicted intracellular proteins	Not detected	lymph node: 1.9
CTD-2207O23.3		Predicted intracellular proteins	Not detected	lymph node: 17.2
CTD-2370N5.3		Predicted membrane proteins, Predicted secreted proteins	Not detected	appendix: 5.1
CTD-2545M3.6		Predicted intracellular proteins	Not detected	appendix: 1.3;spleen: 1.8
CTD-2575K13.6		Predicted intracellular proteins	Mixed	lymph node: 3.4
CTD-3088G3.8		Predicted intracellular proteins	Not detected	appendix: 5.3;skin: 4.3
CTD-3214H19.16		Predicted intracellular proteins	Not detected	bone marrow: 14.1;lung: 11.8
CTLA4	Cytotoxic T-lymphocyte associated protein 4	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 23.5;lymph node: 31.9
CTSW	Cathepsin W	Enzymes, Plasma proteins, Predicted secreted proteins	Expressed in all	bone marrow: 70.6;spleen: 60.4
CXCL1	C-X-C motif chemokine ligand 1	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Expressed in all	cervix, uterine: 178.6;spleen: 112.8
CXCL10	C-X-C motif chemokine ligand 10	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Expressed in all	appendix: 129.4
CXCL11	C-X-C motif chemokine ligand 11	Predicted secreted proteins	Expressed in all	appendix: 13.5
CXCL5	C-X-C motif chemokine ligand 5	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Tissue enhanced	appendix: 47.7
CXCL6	C-X-C motif chemokine ligand 6	Predicted secreted proteins	Mixed	gallbladder: 50.3;spleen: 112.9
CXCL9	C-X-C motif chemokine ligand 9	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Expressed in all	lymph node: 327.4
CXCR1	C-X-C motif chemokine receptor 1	Cancer-related genes, CD markers, G-protein coupled receptors, Predicted membrane proteins	Mixed	appendix: 35.1;spleen: 25.0
CXCR2	C-X-C motif chemokine receptor 2	Cancer-related genes, CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 55.7;spleen: 36.7
CXCR3	C-X-C motif chemokine receptor 3	CD markers, G-protein coupled receptors, Predicted membrane proteins	Mixed	lymph node: 17.9
CXCR4	C-X-C motif chemokine receptor 4	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Expressed in all	bone marrow: 771.6
CXCR5	C-X-C motif chemokine receptor 5	CD markers, G-protein coupled receptors, Predicted membrane proteins	Not detected	appendix: 14.5;lymph node: 32.5;spleen: 21.0;tonsil: 14.3
CYBB	Cytochrome b-245 beta chain	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Expressed in all	appendix: 215.6
CYP4F3	Cytochrome P450 family 4 subfamily F member 3	Enzymes, Predicted intracellular proteins	Tissue enhanced	bone marrow: 53.1;liver: 98.0
CYTH4	Cytohesin 4	Predicted intracellular proteins	Expressed in all	appendix: 89.2
CYTIP	Cytohesin 1 interacting protein	Predicted intracellular proteins	Expressed in all	lymph node: 101.8;tonsil: 102.0
DENND1C	DENN domain containing 1C	Predicted intracellular proteins	Expressed in all	appendix: 28.2;lymph node: 37.1;spleen: 31.7
DENND2D	DENN domain containing 2D	Predicted intracellular proteins	Expressed in all	lymph node: 110.8
DNASE1L3	Deoxyribonuclease 1 like 3	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Mixed	liver: 136.7;spleen: 316.5
DOK3	Docking protein 3	Predicted intracellular proteins	Expressed in all	bone marrow: 92.0
DPEP2	Dipeptidase 2	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	spleen: 38.7
DRD5	Dopamine receptor D5	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Not detected	appendix: 1.7;cerebral cortex: 2.0;stomach: 3.8
DTX1	Deltex E3 ubiquitin ligase 1	Enzymes, Predicted intracellular proteins	Expressed in all	lymph node: 13.4
DUSP2	Dual specificity phosphatase 2	Enzymes, Predicted intracellular proteins	Expressed in all	bone marrow: 78.9;seminal vesicle: 86.2
E2F1	E2F transcription factor 1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Expressed in all	bone marrow: 22.9
E2F2	E2F transcription factor 2	Plasma proteins, Predicted intracellular proteins, Transcription factors	Mixed	bone marrow: 15.3
EAF2	ELL associated factor 2	Predicted intracellular proteins	Expressed in all	lymph node: 63.7
EML6	Echinoderm microtubule associated protein like 6	Predicted intracellular proteins	Mixed	lymph node: 7.5;tonsil: 8.3
EOMES	Eomesodermin	Disease related genes, Predicted intracellular proteins, Transcription factors	Tissue enhanced	lymph node: 18.2;spleen: 19.4
EPHA8	EPH receptor A8	Cancer-related genes, Enzymes, Predicted membrane proteins, Predicted secreted proteins	Mixed	adrenal gland: 4.7;spleen: 2.6;testis: 1.9
EVI2B	Ecotropic viral integration site 2B	CD markers, Predicted membrane proteins	Expressed in all	spleen: 213.7
EXOC3L1	Exocyst complex component 3 like 1	Predicted intracellular proteins	Expressed in all	spleen: 30.0
FAM110B	Family with sequence similarity 110 member B	Predicted intracellular proteins	Mixed	spleen: 28.2
FAM159A	Family with sequence similarity 159 member A	Predicted membrane proteins	Mixed	lymph node: 8.8;tonsil: 6.6
FAM26F	Family with sequence similarity 26 member F	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Expressed in all	spleen: 170.6
FAM43A	Family with sequence similarity 43 member A	Predicted intracellular proteins	Expressed in all	spleen: 34.0
FAM46A	Family with sequence similarity 46 member A	Predicted intracellular proteins	Expressed in all	bone marrow: 143.7
FAM65B	Family with sequence similarity 65 member B	Disease related genes, Predicted intracellular proteins	Mixed	lymph node: 92.5
FAM72B	Family with sequence similarity 72 member B	Predicted intracellular proteins	Mixed	lymph node: 9.7
FAM72C	Family with sequence similarity 72 member C	Predicted intracellular proteins	Mixed	lymph node: 5.5;tonsil: 4.3
FAM72D	Family with sequence similarity 72 member D	Predicted intracellular proteins	Mixed	lymph node: 5.6
FASLG	Fas ligand	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins	Mixed	lymph node: 5.8
FCAMR	Fc fragment of IgA and IgM receptor	CD markers, Predicted membrane proteins	Tissue enhanced	kidney: 32.1;lymph node: 14.0;tonsil: 11.3
FCGR1B	Fc fragment of IgG receptor Ib	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Tissue enhanced	appendix: 27.5;epididymis: 61.7
